pokemon,height,weight,base_experience,type_1,type_2,hp,attack,defense,special_attack,special_defense,speed,egg_group_1,egg_group_2,generation_id,dual_type,log_weight,log_height,base_stat_total
bulbasaur,0.7,6.9,64,grass,poison,45,49,49,65,65,45,monster,plant,1,TRUE,1.9315214116032138,-0.35667494393873245,318
ivysaur,1,13,142,grass,poison,60,62,63,80,80,60,monster,plant,1,TRUE,2.5649493574615367,0,405
venusaur,2,100,236,grass,poison,80,82,83,100,100,80,monster,plant,1,TRUE,4.605170185988092,0.6931471805599453,525
charmander,0.6,8.5,62,fire,NA,39,52,43,60,50,65,monster,dragon,1,FALSE,2.1400661634962708,-0.5108256237659907,309
charmeleon,1.1,19,142,fire,NA,58,64,58,80,65,80,monster,dragon,1,FALSE,2.9444389791664403,0.09531017980432493,405
charizard,1.7,90.5,240,fire,flying,78,84,78,109,85,100,monster,dragon,1,TRUE,4.505349850705881,0.5306282510621704,534
squirtle,0.5,9,63,water,NA,44,48,65,50,64,43,monster,water1,1,FALSE,2.1972245773362196,-0.6931471805599453,314
wartortle,1,22.5,142,water,NA,59,63,80,65,80,58,monster,water1,1,FALSE,3.1135153092103742,0,405
blastoise,1.6,85.5,239,water,NA,79,83,100,85,105,78,monster,water1,1,FALSE,4.448516375942715,0.47000362924573563,530
caterpie,0.3,2.9,39,bug,NA,45,30,35,20,20,45,bug,NA,1,FALSE,1.0647107369924282,-1.2039728043259361,195
metapod,0.7,9.9,72,bug,NA,50,20,55,25,25,30,bug,NA,1,FALSE,2.2925347571405443,-0.35667494393873245,205
butterfree,1.1,32,178,bug,flying,60,45,50,90,80,70,bug,NA,1,TRUE,3.4657359027997265,0.09531017980432493,395
weedle,0.3,3.2,39,bug,poison,40,35,30,20,20,50,bug,NA,1,TRUE,1.1631508098056809,-1.2039728043259361,195
kakuna,0.6,10,72,bug,poison,45,25,50,25,25,35,bug,NA,1,TRUE,2.302585092994046,-0.5108256237659907,205
beedrill,1,29.5,178,bug,poison,65,90,40,45,80,75,bug,NA,1,TRUE,3.3843902633457743,0,395
pidgey,0.3,1.8,50,normal,flying,40,45,40,35,35,56,flying,NA,1,TRUE,0.5877866649021191,-1.2039728043259361,251
pidgeotto,1.1,30,122,normal,flying,63,60,55,50,50,71,flying,NA,1,TRUE,3.4011973816621555,0.09531017980432493,349
pidgeot,1.5,39.5,216,normal,flying,83,80,75,70,70,101,flying,NA,1,TRUE,3.676300671907076,0.4054651081081644,479
rattata,0.3,3.5,51,normal,NA,30,56,35,25,35,72,ground,NA,1,FALSE,1.252762968495368,-1.2039728043259361,253
raticate,0.7,18.5,145,normal,NA,55,81,60,50,70,97,ground,NA,1,FALSE,2.917770732084279,-0.35667494393873245,413
spearow,0.3,2,52,normal,flying,40,60,30,31,31,70,flying,NA,1,TRUE,0.6931471805599453,-1.2039728043259361,262
fearow,1.2,38,155,normal,flying,65,90,65,61,61,100,flying,NA,1,TRUE,3.6375861597263857,0.1823215567939546,442
ekans,2,6.9,58,poison,NA,35,60,44,40,54,55,ground,dragon,1,FALSE,1.9315214116032138,0.6931471805599453,288
arbok,3.5,65,157,poison,NA,60,95,69,65,79,80,ground,dragon,1,FALSE,4.174387269895637,1.252762968495368,448
pikachu,0.4,6,112,electric,NA,35,55,40,50,50,90,ground,fairy,1,FALSE,1.791759469228055,-0.916290731874155,320
raichu,0.8,30,218,electric,NA,60,90,55,90,80,110,ground,fairy,1,FALSE,3.4011973816621555,-0.2231435513142097,485
sandshrew,0.6,12,60,ground,NA,50,75,85,20,30,40,ground,NA,1,FALSE,2.4849066497880004,-0.5108256237659907,300
sandslash,1,29.5,158,ground,NA,75,100,110,45,55,65,ground,NA,1,FALSE,3.3843902633457743,0,450
nidoran-f,0.4,7,55,poison,NA,55,47,52,40,40,41,monster,ground,1,FALSE,1.9459101490553132,-0.916290731874155,275
nidorina,0.8,20,128,poison,NA,70,62,67,55,55,56,no-eggs,NA,1,FALSE,2.995732273553991,-0.2231435513142097,365
nidoqueen,1.3,60,227,poison,ground,90,92,87,75,85,76,no-eggs,NA,1,TRUE,4.0943445622221,0.26236426446749106,505
nidoran-m,0.5,9,55,poison,NA,46,57,40,40,40,50,monster,ground,1,FALSE,2.1972245773362196,-0.6931471805599453,273
nidorino,0.9,19.5,128,poison,NA,61,72,57,55,55,65,monster,ground,1,FALSE,2.970414465569701,-0.10536051565782628,365
