term,estimate,std.error,statistic,p.value
Xintercept,61.1362234442098,3.9817847143253005,15.353975121824012,1.246e-47
Xbase_experience,0.26486064735827525,0.015887384894113423,16.671129271653204,7.521e-55
Xattack,0.018295420299571277,0.026751505278342396,0.6839024611591844,0.494
Xdefense,-0.18799898552670094,0.03614739508827918,-5.200899956070686,2.435e-07
Xspecial_attack,-0.07417061848255488,0.025712454909424313,-2.884618319947713,0.004
Xspecial_defense,-0.04841692631688047,0.032118134839089124,-1.5074638225241845,0.132
Xspeed,-0.23429831740772414,0.025854416832421928,-9.062216290792898,7.288e-19
Xdual_type,4.0900518942238335,3.1350040851409537,1.3046400524993063,0.192
Xlog_weight,1.934407084467079,0.660487177873371,2.92875796725602,0.003
Xlog_height,7.386858949790113,1.543155485364806,4.78685331442401,1.967e-06
Xdual_type_defense,-0.04896609231430116,0.03982437815436915,-1.2295507069688938,0.219
