type_1,type_2,n,row_total,prop
bug,flying,14,61,0.22950819672131148
dark,flying,5,25,0.2
dragon,ground,8,27,0.2962962962962963
electric,flying,6,21,0.2857142857142857
fairy,flying,2,2,1
fighting,psychic,3,9,0.3333333333333333
fire,fighting,7,28,0.25
fire,flying,7,28,0.25
flying,dragon,2,2,1
ghost,grass,11,30,0.36666666666666664
grass,poison,15,45,0.3333333333333333
ground,flying,4,21,0.19047619047619047
ice,ground,3,14,0.21428571428571427
ice,water,3,14,0.21428571428571427
normal,flying,27,44,0.6136363636363636
poison,dark,5,20,0.25
psychic,fairy,7,23,0.30434782608695654
psychic,flying,7,23,0.30434782608695654
rock,flying,18,53,0.33962264150943394
steel,psychic,7,25,0.28
water,ground,10,60,0.16666666666666666
